,Month,Deaths,LSTM Predictions,SARIMA Predictions
0,2015-01-01,2771,0.0,0.0
1,2015-02-01,2627,0.0,2374.844442837437
2,2015-03-01,2907,0.0,2739.695909158926
3,2015-04-01,2822,0.0,2821.1095994020243
4,2015-05-01,2850,0.0,2858.638137351528
5,2015-06-01,2634,0.0,2836.224247864585
6,2015-07-01,2734,0.0,2685.2814741836546
7,2015-08-01,2810,0.0,2701.074664129885
8,2015-09-01,2925,0.0,2799.681878276099
9,2015-10-01,2970,0.0,2901.30771303221
10,2015-11-01,2739,0.0,2964.7489781989057
11,2015-12-01,2718,0.0,2791.9035149533643
12,2016-01-01,3098,2934.003662109375,4664.446980877921
13,2016-02-01,3416,2931.185791015625,3325.5472776976567
14,2016-03-01,3721,2978.120361328125,3509.51539828518
15,2016-04-01,3608,2995.44677734375,3662.606165062633
16,2016-05-01,3475,3005.615234375,3638.2384469626973
17,2016-06-01,3384,3036.49267578125,3286.282474665737
18,2016-07-01,3668,3110.444091796875,3452.0607522631835
19,2016-08-01,3624,3188.554443359375,3709.608750808333
20,2016-09-01,3518,3197.592041015625,3777.7460182510886
21,2016-10-01,3695,3249.944091796875,3616.964222873382
22,2016-11-01,3745,5243.47998046875,3407.8356480023695
23,2016-12-01,4044,3560.264892578125,3685.486406775172
24,2017-01-01,4332,3703.664306640625,4264.992913709214
25,2017-02-01,4006,3806.194091796875,4696.848357084572
26,2017-03-01,4252,3828.092041015625,4419.343965698962
27,2017-04-01,4056,3829.92333984375,4137.026422582867
28,2017-05-01,4129,3848.639892578125,3994.168474438697
29,2017-06-01,3950,3899.040283203125,3954.193755303934
30,2017-07-01,3980,3939.149658203125,4202.34564528719
31,2017-08-01,4000,3944.305908203125,4016.074951903773
32,2017-09-01,4022,4011.738525390625,3945.476190407461
33,2017-10-01,3832,4175.4970703125,4150.450673102987
34,2017-11-01,3820,4273.70947265625,3868.3610450530473
35,2017-12-01,4017,4286.0703125,4017.4312774304785
36,2018-01-01,4008,4303.9873046875,4288.251999178967
37,2018-02-01,3671,4246.32861328125,4006.763340302655
38,2018-03-01,4155,4224.37939453125,3991.626517935864
39,2018-04-01,3922,4197.30859375,3946.1588365461175
40,2018-05-01,4079,4161.15869140625,3953.2686411704726
41,2018-06-01,4063,4155.875,3874.809411707284
42,2018-07-01,4085,4118.583984375,4162.4130065939
43,2018-08-01,4061,4133.818359375,4125.323170504699
44,2018-09-01,3882,4105.384765625,4064.024847058771
45,2018-10-01,3999,4092.09130859375,3894.431850102902
46,2018-11-01,3692,4112.5224609375,3916.9953959605755
47,2018-12-01,3976,4122.380859375,3961.5944443951166
48,2019-01-01,3931,4122.380859375,4066.4653482623075
49,2019-02-01,3727,4213.82861328125,3925.699672964015
50,2019-03-01,4285,4135.20458984375,4280.742985047689
51,2019-04-01,3934,4231.53662109375,4105.937013516101
52,2019-05-01,4100,4198.88427734375,4158.24365968396
53,2019-06-01,4112,4239.02197265625,4057.753125615842
54,2019-07-01,4296,4228.07421875,4154.347121244781
55,2019-08-01,4371,4202.94482421875,4150.264710180533
56,2019-09-01,4252,4177.71337890625,4076.12358525256
57,2019-10-01,4529,4167.908203125,4127.190535942772
58,2019-11-01,4560,4252.23291015625,3976.694099731176
59,2019-12-01,4645,4316.41259765625,4209.919711254388
